source (BB CAN DBC),library id,duplicate of,status
0.0.6 (1).dbc,,BMS/Exponent_ePack/0.0.6.dbc,duplicate
dbcs/dbcs/exponent/epacktgv13evpassenger/fc03bb63-3276-40dd-9470-a7e969952ebe.dbc,,BMS/Exponent_ePack/3ev.dbc,duplicate
3ev (1).dbc,,BMS/Exponent_ePack/3ev.dbc,duplicate
BMS_DBC_1.dbc,,BMS/Exponent_ePack/BMS_DBC.dbc,duplicate
BMS_DBC (1).dbc,,BMS/Exponent_ePack/BMS_DBC.dbc,duplicate
BMS_DBC_tg1_v9.1 (1).dbc,,BMS/Exponent_ePack/BMS_DBC_tg1_v9.1.dbc,duplicate
epacktgv1.dbc,,BMS/Exponent_ePack/BMS_DBC_tg1_v9_7.dbc,duplicate
BMS_DBC_tg1_v9x (2).dbc,,BMS/Exponent_ePack/BMS_DBC_tg1_v9x_2.dbc,duplicate
BMS_DBC_tg1_v9_5 (1).dbc,,BMS/Exponent_ePack/can.dbc,duplicate
can (7).dbc,,BMS/Exponent_ePack/can_4.dbc,duplicate
can (8).dbc,,BMS/Exponent_ePack/can_5.dbc,duplicate
lohum_v2 (1).dbc,,BMS/Lohum/lohum_v2.dbc,duplicate
dbcs/dbcs/cloud/theenergy/58b166c3-823a-4b0f-88de-f16855b71a2c.dbc,,BMS/TEC_EnergyCompany/Tec_CAN_31Oct23_ByteWise.dbc,duplicate
vidur.dbc,,BMS/Vidur/vidur.dbc,duplicate
dbcs/dbcs/electorq/electorq/f4b15b33-a5b6-46fa-86b6-4011be600373.dbc,,Charger/Electorq_SwapStation/async.dbc,duplicate
async (1).dbc,,Charger/Electorq_SwapStation/async.dbc,duplicate
sync (1).dbc,,Charger/Electorq_SwapStation/sync.dbc,duplicate
sync (2).dbc,,Charger/Electorq_SwapStation/sync.dbc,duplicate
30kW_MGM_Rectifier_Test (1).dbc,,Charger/Exponent_Rectifier/30kW_MGM_Rectifier_Test.dbc,duplicate
dbcs/dbcs/exponent/epumpp4v1dev/677b3922-7a6e-426b-8da6-b1c3c2627654.dbc,,Charger/Exponent_ePump_P4/34_4_bb.dbc,duplicate
34_4_bb (1).dbc,,Charger/Exponent_ePump_P4/34_4_bb.dbc,duplicate
